Lregnr;Vdrnr;Vassdrag;Vassdrag2;Fylke;Kommune;Aar;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Laks_ant;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_vekt;PrHuSmall;PrHuMellom;PrHuStor;ExpSmallMin;ExpSmallMed;ExpSmallMax;ExpMellomMin;ExpMellomMed;ExpMellomMax;ExpStorMin;ExpStorMed;ExpStorMax;GBMkghunner;GBMmin;GBMmax;StamAntSmaHo;StamAntMelHo;StamAntStorHo;Nsport;ProsOpp;OppdrMaalt;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg;Gjen_ant;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_vekt;PrHuSmall_Gjenut;PrHuMellom_Gjenut;PrHuStor_Gjenut;FangstAndSmallMin;FangstAndSmallMed;FangstAndSmallMax;FangstAndMellomMin;FangstAndMellomMed;FangstAndMellomMax;FangstAndStorMin;FangstAndStorMed;FangstAndStorMax;Obs_laks_ant_u3kg;Obs_laks_ant_o3u7kg;Obs_laks_ant_o7kg;Obs_laks_ant;Probs_small_med;Probs_small_min;Probs_small_max;Probs_mellom_med;Probs_mellom_min;Probs_mellom_max;Probs_stor_med;Probs_stor_min;Probs_stor_max;Simulering;InklNormal
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2003;123;136;14;273;231;678;117;1026;0.1;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;166.8689655;125.1517241;208.5862069;NA;NA;NA;NA;24;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2004;62;57;16;135;107;297;137;541;0.1;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;166.8689655;125.1517241;208.5862069;NA;NA;NA;NA;13;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2005;287;42;3;332;506;186;30;722;0.1;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;166.8689655;125.1517241;208.5862069;0;10;0;NA;8;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2006;132;50;3;185;225;239;25;489;0.1;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;166.8689655;125.1517241;208.5862069;0;15;0;NA;12.1;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2007;67;83;10;160;108;385;77;570;0.1;0.7;0.55;0.4;0.6;0.7;0.2;0.4;0.6;0.1;0.3;0.5;166.8689655;125.1517241;208.5862069;0;15;0;NA;5.5;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2008;63;45;9;117;96;192;73;361;0.1;0.7;0.55;0.3;0.5;0.6;0.1;0.3;0.5;0.05;0.2;0.3;166.8689655;125.1517241;208.5862069;0;15;0;NA;1.42;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2009;41;36;3;80;69.5;149.9;30.2;249.6;0.1;0.7;0.55;0.4;0.5;0.6;0.2;0.3;0.5;0.1;0.2;0.3;166.8689655;125.1517241;208.5862069;0;15;0;NA;8.3;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2010;141;56;2;199;249;234.5;15.6;499.1;0.1;0.7;0.55;0.321673004;0.428897338;0.536121673;0.234965035;0.313286713;0.391608392;0.092307692;0.123076923;0.153846154;166.8689655;125.1517241;208.5862069;0;11;0;NA;13;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2011;106;169;29;304;187.4;803.3;233.8;1224.5;0.1;0.7;0.55;0.237668161;0.293628809;0.341935484;0.153543307;0.194756554;0.232142857;0.213759214;0.266055046;0.311827957;166.8689655;125.1517241;208.5862069;12;0;0;NA;9.52;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2012;214;133;72;419;430.9;633.6;658.2;1722.7;0.1;0.7;0.55;0.357262104;0.425658876;0.480898876;0.125511167;0.160628019;0.193033382;0.339622642;0.406779661;0.461538462;166.8689655;125.1517241;208.5862069;11;0;0;NA;9.52;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2013;144;101;15;260;218.5;483.5;135.9;837.9;0.1;0.7;0.55;0.388489209;0.458598726;0.514285714;0.271019678;0.331419196;0.382575758;0.204545455;0.255319149;0.3;166.8689655;125.1517241;208.5862069;0;18;0;NA;9.52;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2014;116;59;14;189;197;231;121;549;0.1;0.7;0.55;0.206510682;0.229249012;0.250720461;0.136619252;0.153147307;0.169054441;0.340277778;0.370860927;0.398734177;166.8689655;125.1517241;208.5862069;0;14;0;72;12.5;1;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2015;443;254;25;722;451;752;211;1414;0.1;0.7;0.55;0.398534893;0.430933852;0.460020768;0.300947867;0.329763064;0.356296758;0.141700405;0.158730159;0.175097276;166.8689655;125.1517241;208.5862069;0;15;0;165;6.1;1;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2016;210;252;64;526;257;1162;503;1922;0.1;0.7;0.55;0.450920245;0.484149856;0.513586957;0.388204225;0.420350292;0.449286846;0.435797665;0.468864469;0.498269896;166.8689655;125.1517241;208.5862069;0;12;0;270;4.8;1;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2017;119;193;59;371;207.7;966.4;506.6;1680.7;0.1;0.7;0.55;0.500901984;0.534231201;0.563387691;0.43707538;0.470158343;0.499568594;0.484173505;0.51754386;0.546858908;166.8689655;125.1517241;208.5862069;0;26;0;224;1.8;1;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2018;49;76;12;137;90;366;110;566;0.1;0.7;0.55;0.269442262;0.296520424;0.32166302;0.221482098;0.245359161;0.267815192;0.181034483;0.201680672;0.221311475;166.8689655;125.1517241;208.5862069;0;12;0;NA;1.8;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2019;178;63;14;255;259.4;305.3;116.9;681.6;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;166.8689655;125.1517241;208.5862069;0;12;0;150;1.33;1;117;36;12;165;174.7;161.7;109.7;446.1;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;144;89;20;253;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2020;135;80;7;222;219.7;363.3;54.4;637.4;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;166.8689655;125.1517241;208.5862069;0;9;3;147;1.361;1;72;32;1;105;106.8;142.4;7.5;256.7;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;110;147;21;278;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2021;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;166.8689655;125.1517241;208.5862069;0;6;3;NA;1.361;NA;0;0;0;0;0;0;0;0;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;83;67;19;169;0.9;0.8;0.95;0.9;0.8;0.95;0.9;0.8;0.95;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2022;26;70;8;104;51.1;346.3;69.4;466.8;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;166.8689655;125.1517241;208.5862069;0;12;0;96;2.1;1;18;15;2;35;28.7;76.5;14.8;120;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;63;86;15;164;0.7;0.6;0.8;0.7;0.6;0.8;0.7;0.6;0.8;1;0
200612;061.2Z;Storelva;Arnaelva;Hordaland;Bergen;2023;63;26;8;69;114;131;69;315;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;166.8689655;125.1517241;208.5862069;NA;NA;NA;NA;2.1;NA;48;8;1;57;76;35;8;119;0.1;0.7;0.55;NA;NA;NA;NA;NA;NA;NA;NA;NA;74;82;22;178;0.75;0.65;0.85;0.75;0.65;0.85;0.75;0.65;0.85;1;0
